# Curated mini-thesaurus for the `synonym` strategy.
# One pair per line, TAB-separated: prompt<TAB>response.
# All ASCII so byte-level training stays predictable.
# 200 pairs covering common English greetings, replies, actions, qualities.
hi	hello
hey	hello
hello	hi
yo	hi
sup	hi
howdy	hello
greetings	hello
hola	hi
bye	farewell
goodbye	bye
ciao	bye
later	bye
adios	bye
peace	bye
ok	yes
okay	yes
yep	yes
yeah	yes
sure	yes
fine	good
no	nope
nope	no
nah	no
never	no
thanks	welcome
thank	welcome
please	yes
sorry	pardon
oops	sorry
help	aid
good	great
great	awesome
nice	good
fine	good
cool	nice
awesome	great
super	great
neat	nice
bad	awful
awful	terrible
terrible	horrible
horrible	awful
sad	unhappy
happy	glad
glad	happy
joyful	glad
angry	mad
mad	angry
upset	sad
big	large
large	big
huge	massive
massive	huge
giant	huge
tiny	small
small	little
little	small
mini	tiny
fast	quick
quick	fast
slow	sluggish
swift	fast
rapid	fast
hot	warm
warm	hot
cold	chilly
chilly	cold
cool	chilly
old	aged
young	new
new	fresh
fresh	new
ancient	old
strong	mighty
weak	frail
brave	bold
bold	brave
shy	timid
smart	clever
clever	smart
wise	smart
dumb	silly
silly	foolish
foolish	silly
crazy	wild
wild	crazy
tame	calm
calm	peaceful
peaceful	calm
quiet	silent
silent	quiet
loud	noisy
noisy	loud
bright	shiny
dark	dim
dim	dark
light	bright
heavy	weighty
soft	gentle
hard	tough
tough	hard
easy	simple
simple	easy
walk	go
run	jog
jog	run
jump	leap
leap	jump
swim	bathe
fly	soar
soar	fly
glide	soar
climb	scale
sit	rest
stand	rise
rise	stand
fall	drop
drop	fall
push	shove
pull	tug
tug	pull
lift	raise
raise	lift
carry	hold
hold	carry
throw	toss
toss	throw
catch	grab
grab	catch
break	smash
smash	break
fix	mend
mend	fix
make	build
build	make
create	make
destroy	ruin
ruin	destroy
look	see
see	view
view	see
hear	listen
listen	hear
talk	speak
speak	talk
say	tell
tell	say
ask	query
query	ask
answer	reply
reply	answer
think	ponder
ponder	think
know	understand
understand	know
learn	study
study	learn
teach	show
show	display
display	show
give	hand
hand	give
take	grab
get	receive
buy	purchase
sell	trade
trade	swap
swap	trade
own	have
have	own
need	want
want	need
like	love
love	adore
adore	love
hate	loathe
loathe	hate
hope	wish
wish	hope
dream	imagine
imagine	dream
feel	sense
sense	feel
go	move
move	shift
shift	move
start	begin
begin	start
stop	halt
halt	stop
end	finish
finish	end
open	begin
close	shut
shut	close
home	house
house	home
food	meal
meal	food
water	drink
drink	water
work	labor
play	game
fun	joy
joy	fun
time	hour
day	date
night	evening
evening	night
year	annum
city	town
town	city
road	street
street	road
path	trail
map	chart
book	tome
tome	book
song	tune
tune	song
art	craft
craft	art
