g,n,iso,fam,ma,lat,lon
aari1239,Aari,aiw,South Omotic,Africa,5.95034,36.5721
aari1240,Aariya,aay,Bookkeeping,Eurasia,,
aasa1238,Aasax,aas,Afro-Asiatic,Africa,-4.00679,36.8648
abad1241,Abadi,kbt,Austronesian,Papunesia,-9.03389,146.992
abag1245,Abaga,abg,Nuclear Trans New Guinea,Papunesia,-6.12028,145.665
abai1240,Abai Sungai,abf,Austronesian,Papunesia,5.55394,118.306
abai1241,Abai Tubu-Abai Sembuak,,Austronesian,Papunesia,3.524226,116.162455
aban1242,Abanyom,abm,Atlantic-Congo,Africa,6.30619,8.63055
abar1238,Mungbam,mij,Atlantic-Congo,Africa,6.5805,10.2267
abau1245,Abau,aau,Sepik,Papunesia,-3.97222,141.324
abaz1241,Abaza,abq,Abkhaz-Adyge,Eurasia,44.25,42.0
abee1242,Abé,aba,Atlantic-Congo,Africa,5.59682,-4.38497
aben1249,Abenlen Ayta,abp,Austronesian,Papunesia,15.4131,120.2
abid1235,Abidji,abi,Atlantic-Congo,Africa,5.65656,-4.58421
abin1243,Abinomn,bsa,,Papunesia,-2.92281,138.891
abip1241,Abipon,axb,Guaicuruan,South America,-29.0,-61.0
abis1238,Aewa,ash,,South America,-1.284096,-75.084405
abkh1244,Abkhaz,abk,Abkhaz-Adyge,Eurasia,43.056218,41.159115
abom1238,Abom,aob,Anim,Papunesia,-8.42448,142.842
abon1238,Abon,abo,Atlantic-Congo,Africa,6.90621,10.8769
abro1238,Abron,abr,Atlantic-Congo,Africa,7.72094,-2.50289
abua1244,Abua,abn,Atlantic-Congo,Africa,4.83057,6.61492
abua1245,Abu' Arapesh,aah,Nuclear Torricelli,Papunesia,-3.461612,142.917031
abui1241,Abui,abz,Timor-Alor-Pantar,Papunesia,-8.31058,124.588
abun1252,Abun,kgr,,Papunesia,-0.57073,132.416
abur1243,Abure,abu,Atlantic-Congo,Africa,5.21534,-3.64123
abur1244,Abureni,mgj,Atlantic-Congo,Africa,4.62301,6.50634
abuu1241,Abu,ado,Ramu,Papunesia,-4.24027,144.474
acat1239,Acatepec Me'phaa,tpx,Otomanguean,North America,17.1034,-99.0602
acha1249,Longchuan Achang,acn,Sino-Tibetan,Eurasia,24.3479,97.7438
acha1250,Achagua,aca,Arawakan,South America,4.38649,-72.2005
ache1244,Ache,yif,Sino-Tibetan,Eurasia,24.152,102.446
ache1245,Acheron,acz,Narrow Talodi,Africa,10.8827,30.3187
ache1246,Aché,guq,Tupian,South America,-25.5865,-56.4697
achi1256,Achi,acr,Mayan,North America,15.073,-90.3513
achi1257,Acehnese,ace,Austronesian,Papunesia,3.90757,96.6032
achi1258,"Achi', Cubulco",acc,Bookkeeping,North America,,
achu1247,Achumawi,acv,Palaihnihan,North America,41.0979,-121.191
achu1248,Achuar-Shiwiar,acu,Chicham,South America,-2.82646,-77.2641
acol1236,Acoli,ach,Nilotic,Africa,3.57738,32.5147
acro1239,Acroá,acs,Nuclear-Macro-Je,South America,-12.20318,-45.08975
adab1235,Adabe,adb,Bookkeeping,Papunesia,-8.22674,125.576
adai1235,Adai,xad,,North America,31.6314,-92.0059
adam1238,Adamorobe Sign Language,ads,Sign Language,Africa,5.834,-0.151
adam1253,Adamawa Fulfulde,fub,Atlantic-Congo,Africa,8.140326,13.077338
adan1247,Adangme,ada,Atlantic-Congo,Africa,5.9437,0.13243
adan1248,Adangbe,adq,Atlantic-Congo,Africa,6.50546,0.727155
adan1251,Adang,adn,Timor-Alor-Pantar,Papunesia,-8.18958,124.448
adap1234,Adap,adp,Bookkeeping,Eurasia,27.141,90.3369
adas1235,Adasen,tiu,Austronesian,Papunesia,17.8187,120.905
adel1244,Adele,ade,Atlantic-Congo,Africa,8.16975,0.619185
adha1238,Adhari,,Indo-European,Eurasia,40.05,48.06
adho1243,Adhola,adh,Nilotic,Africa,0.73235,34.0341
adio1239,Adioukrou,adj,Atlantic-Congo,Africa,5.38228,-4.52522
adiv1239,Kotia-Adivasi Oriya-Desiya,ort,Indo-European,Eurasia,18.1046,82.8487
adiw1235,Adiwasi Garasia,gas,Indo-European,Eurasia,24.0712,73.1426
adny1235,Adnyamathanha,adt,Pama-Nyungan,Australia,-30.1451,138.671
adon1237,Adonara,adr,Austronesian,Papunesia,-8.32027,123.159
adug1238,Aduge,adu,Bookkeeping,Africa,7.64567,6.13085
adur1234,Adurgari,,Speech Register,Eurasia,33.79,69.32
adyg1241,West Circassian,ady,Abkhaz-Adyge,Eurasia,44.0,39.33
adze1240,Adzera,adz,Austronesian,Papunesia,-6.39394,146.294
adze1241,Adzera (Retired),azr,Bookkeeping,,,
aeka1244,Aeka,aez,Nuclear Trans New Guinea,Papunesia,-8.855095,147.99477
aeky1238,Aekyom,awi,Kamula-Elevala,Papunesia,-5.88478,141.532
aerr1238,Aer,aeq,Indo-European,Eurasia,25.254,69.029
afad1236,Afade,aal,Afro-Asiatic,Africa,12.0551,14.6343
afar1241,Afar,aar,Afro-Asiatic,Africa,12.2281,41.8083
afgh1239,Afghan Sign Language,afg,Sign Language,Eurasia,34.434167,70.447778
afgh1240,Afghanistan Gorbat,,Speech Register,Eurasia,,
afit1238,Afitti,aft,Nyimang,Africa,12.446,30.7611
afri1274,Afrikaans,afr,Indo-European,Africa,-31.63272,20.46356
afri1275,Afrihili,afh,Artificial Language,Africa,,
afro1254,Afro-Seminole Creole,afs,Indo-European,North America,31.7843,-99.2934
afud1235,Afudu,,Atlantic-Congo,Africa,7.17893,10.22439
